SITE ID II,SITEID,SITENAME,LONG,LAT,AREA,Sales Area,PRB 1,PRB 2,PRB 3,MAX PRB,EUT 1,EUT 2,EUT 3,MIN EUT
14STG002MACRO,14STG002,SALATIGA_KOTA,110.502998,-7.32512,CENTRAL JAVA,SEMARANG OUTER,  58.65 ,  74.03 ,  67.31 ,  74.03 ,  12.22 ,  5.92 ,  10.24 ,  5.92 
14STG003MACRO,14STG003,SALATIGA_SLT,110.509003,-7.33676,CENTRAL JAVA,SEMARANG OUTER,  95.60 ,  88.43 ,  63.38 ,  95.60 ,  1.26 ,  3.98 ,  14.43 ,  1.26 
14BRS019MACRO,14BRS019,SALEM_TB,108.801003,-7.17341,CENTRAL JAVA,TEGAL,  64.50 ,  96.22 ,  21.15 ,  96.22 ,  18.68 ,  3.13 ,  28.72 ,  3.13 
14STG020MACRO,14STG020,SALIBPUTIH,110.477997,-7.35942,CENTRAL JAVA,SEMARANG OUTER,  96.32 ,  62.73 ,  73.05 ,  96.32 ,  1.66 ,  6.82 ,  2.69 ,  1.66 
14UNR146MACRO,14UNR146,SAMBAN_UNR_CM,110.416573,-7.2059,CENTRAL JAVA,SEMARANG OUTER,  90.85 ,  13.19 ,  88.23 ,  90.85 ,  1.52 ,  20.58 ,  1.53 ,  1.52 
14PWT203MACRO,14PWT203,SAMBENG_PWT_MT,109.311073,-7.40983,CENTRAL JAVA,PURWOKERTO,  76.30 ,  66.01 ,  86.61 ,  86.61 ,  6.86 ,  8.79 ,  3.77 ,  3.77 
14KLT160MACRO,14KLT160,SAMBER_KLT_PL,110.649933,-7.70739,CENTRAL JAVA,SOLO INNER,  74.69 ,  87.82 ,  78.56 ,  87.82 ,  8.32 ,  4.03 ,  5.27 ,  4.03 
14BYL094MACRO,14BYL094,SAMBI_2_BYL_ST,110.70211,-7.47643,CENTRAL JAVA,SOLO INNER,  89.27 ,  79.66 ,  69.00 ,  89.27 ,  4.28 ,  11.01 ,  11.98 ,  4.28 
14BYL015MACRO,14BYL015,SAMBIBYL_TB,110.696999,-7.48684,CENTRAL JAVA,SOLO INNER,  82.69 ,  92.08 ,  83.68 ,  92.08 ,  3.76 ,  4.29 ,  7.52 ,  3.76 
14SMG384MACRO,14SMG384,SAMBIREJO_GAYAMSARI_SMG_QT,110.446617,-6.98604,CENTRAL JAVA,SEMARANG INNER,  47.89 ,  82.89 ,  34.44 ,  82.89 ,  12.04 ,  2.63 ,  20.15 ,  2.63 
14UNR066MACRO,14UNR066,SAMBIREJO_IT,110.538002,-7.19916,CENTRAL JAVA,SEMARANG OUTER,  95.76 ,  35.45 ,  63.13 ,  95.76 ,  0.96 ,  20.07 ,  14.87 ,  0.96 
14MGL015MACRO,14MGL015,SAMBUNG_MGLSM,110.2211,-7.437556,CENTRAL JAVA,MAGELANG,  81.31 ,  87.43 ,  94.13 ,  94.13 ,  3.63 ,  3.03 ,  1.60 ,  1.60 
14UNR081MACRO,14UNR081,SAMIRONOXL,110.463997,-7.3849,CENTRAL JAVA,SEMARANG OUTER,  98.31 ,  82.47 ,  98.65 ,  98.65 ,  1.17 ,  4.80 ,  0.97 ,  0.97 
14CLP010MACRO,14CLP010,SAMPANG,109.197998,-7.55958,CENTRAL JAVA,PURWOKERTO,  59.25 ,  98.08 ,  94.29 ,  98.08 ,  12.67 ,  3.26 ,  3.99 ,  3.26 
14SMG032MACRO,14SMG032,SAMPANGAN,110.398003,-7.00379,CENTRAL JAVA,SEMARANG INNER,  69.17 ,  77.91 ,  80.02 ,  80.02 ,  10.41 ,  3.48 ,  4.47 ,  3.48 
14SMG237MACRO,14SMG237,SAMPANGMENOREH,110.391998,-7.010833,CENTRAL JAVA,SEMARANG INNER,  65.95 ,  47.02 ,  83.08 ,  83.08 ,  9.51 ,  12.27 ,  4.41 ,  4.41 
14BRS085MACRO,14BRS085,SANDER_PS,108.970001,-6.89266,CENTRAL JAVA,TEGAL,  91.03 ,  82.28 ,  4.44 ,  91.03 ,  6.47 ,  9.50 ,  33.53 ,  6.47 
14SKH058MACRO,14SKH058,SANGGANG_TB,110.815002,-7.79177,CENTRAL JAVA,SOLO INNER,  89.26 ,  58.25 ,  46.30 ,  89.26 ,  4.41 ,  8.74 ,  24.83 ,  4.41 
14PWT056MACRO,14PWT056,SANGKALPUTUNG,109.287003,-7.45267,CENTRAL JAVA,PURWOKERTO,  86.75 ,  98.42 ,  93.83 ,  98.42 ,  6.17 ,  2.02 ,  3.45 ,  2.02 
14PBG041MACRO,14PBG041,SANGKANAYU_TB,109.317001,-7.27106,CENTRAL JAVA,BANJARNEGARA,  64.51 ,  75.86 ,  69.36 ,  75.86 ,  9.24 ,  3.58 ,  2.54 ,  2.54 
14PBG047MACRO,14PBG047,SANGKARAYU_TB,109.323997,-7.28031,CENTRAL JAVA,BANJARNEGARA,  95.86 ,  99.16 ,  76.32 ,  99.16 ,  2.10 ,  0.59 ,  8.52 ,  0.59 
