site_id,site_name,longitude,latitude,kecamatan,MICRO_CLUSTER,CLUSTER,SALES_AREA,AREA,Population Covered,Revenue,Sec 1 Azimuth,Sec 2 Azimuth,Sec 3 Azimuth
14PAT0042,PATIBARAT_MT,111.01800,-6.75741,MARGOREJO,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0043,TLOGOWUNGU_TB,111.02000,-6.70652,TLOGOWUNGU,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  7,434,837 ",NULL,NULL,NULL
14PAT0045,PURI2_PAT_MT,111.02315,-6.75613,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0046,MUKTIHARJO_PAT_PAT2_PL,111.02440,-6.74270,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  10,594,577 ",NULL,NULL,NULL
14PAT0047,KEMUTUNG_PAT_PL,111.02470,-6.53127,TAYU,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  3,992,784 ",NULL,NULL,NULL
14PAT0048,DUKUHSETIPUNCEL_CM,111.02500,-6.45154,DUKUHSETI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  7,297,347 ",NULL,NULL,NULL
14PAT0049,PURI3PATI_HS,111.02534,-6.75205,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT005,JUWANACITY,111.145,-6.71931,JUWANA,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  8,165 ","  82,955,318 ",60,180,330
14PAT0050,PANTIREJO_PL,111.02700,-6.80798,GABUS,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  5,399,288 ",NULL,NULL,NULL
14PAT0051,NGAGULWINONG_HS,111.02765,-6.73654,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0052,KARANGAWENPATI_TB,111.02809,-6.88724,TAMBAKROMO,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0053,CLUWAKPATI_PL,111.02844,-6.64782,TRANGKIL,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0054,KALIKALONGPATI_PL,111.02910,-6.50778,TAYU,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0055,PATIKOTA1_PL,111.02911,-6.75583,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  2,505,645 ",NULL,NULL,NULL
14PAT0056,PATIHOTEL_PS,111.03000,-6.75103,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14PAT0057,WINONG_PATI_HS,111.03020,-6.74358,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  3,957,914 ",NULL,NULL,NULL
14PAT0058,KURYOKALANGAN_PL,111.03479,-6.83918,GABUS,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  5,223,597 ",NULL,NULL,NULL
14PAT0059,PATI_EP,111.03500,-6.74545,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  9,908,755 ",NULL,NULL,NULL
14PAT006,TRANGKIL,111.063,-6.66044,TRANGKIL,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,"  13,658 ","  73,545,175 ",20,90,270
14PAT0060,PATITENGAH_MT,111.03700,-6.75569,PATI,MC-PATI,CW-CJA-BLOREMPATIGRO,PATI,CENTRAL JAVA,  -   ,"  11,217,635 ",NULL,NULL,NULL
